movieId,title,genres,year,tag,content
78,"Crossing Guard, The",Action Crime Drama Thriller,1995.0,,crossing guard the action crime drama thriller
79,"Juror, The",Drama Thriller,1996.0,,juror the drama thriller
80,"White Balloon, The (Badkonake sefid)",Children Drama,1995.0,,white balloon the badkonake sefid children drama
81,Things to Do in Denver When You're Dead,Crime Drama Romance,1995.0,,things to do in denver when you re dead crime drama romance
82,Antonia's Line (Antonia),Comedy Drama,1995.0,,antonia s line antonia comedy drama
83,Once Upon a Time... When We Were Colored,Drama Romance,1995.0,,once upon a time when we were colored drama romance
85,Angels and Insects,Drama Romance,1995.0,,angels and insects drama romance
86,White Squall,Action Adventure Drama,1996.0,,white squall action adventure drama
87,Dunston Checks In,Children Comedy,1996.0,,dunston checks in children comedy
88,Black Sheep,Comedy,1996.0,,black sheep comedy
89,Nick of Time,Action Thriller,1995.0,,nick of time action thriller
92,Mary Reilly,Drama Horror Thriller,1996.0,jekyll and hyde,mary reilly drama horror thriller jekyll and hyde
93,Vampire in Brooklyn,Comedy Horror Romance,1995.0,,vampire in brooklyn comedy horror romance
94,Beautiful Girls,Comedy Drama Romance,1996.0,,beautiful girls comedy drama romance
95,Broken Arrow,Action Adventure Thriller,1996.0,,broken arrow action adventure thriller
96,In the Bleak Midwinter,Comedy Drama,1995.0,theater,in the bleak midwinter comedy drama theater
97,"Hate (Haine, La)",Crime Drama,1995.0,,hate haine la crime drama
99,Heidi Fleiss: Hollywood Madam,Documentary,1995.0,,heidi fleiss hollywood madam documentary
100,City Hall,Drama Thriller,1996.0,,city hall drama thriller
101,Bottle Rocket,Adventure Comedy Crime Romance,1996.0,crime off-beat comedy quirky,bottle rocket adventure comedy crime romance crime off beat comedy quirky
102,Mr. Wrong,Comedy,1996.0,,mr wrong comedy
103,Unforgettable,Mystery Sci-Fi Thriller,1996.0,,unforgettable mystery sci fi thriller
104,Happy Gilmore,Comedy,1996.0,test tag golf adam sandler,happy gilmore comedy test tag golf adam sandler
105,"Bridges of Madison County, The",Drama Romance,1995.0,,bridges of madison county the drama romance
106,Nobody Loves Me (Keiner liebt mich),Comedy Drama,1994.0,,nobody loves me keiner liebt mich comedy drama
107,Muppet Treasure Island,Adventure Children Comedy Musical,1996.0,muppets,muppet treasure island adventure children comedy musical muppets
108,Catwalk,Documentary,1996.0,,catwalk documentary
110,Braveheart,Action Drama War,1995.0,beautiful scenery epic historical inspirational medieval mel gibson oscar (best cinematography) revenge sword fight scotland,braveheart action drama war beautiful scenery epic historical inspirational medieval mel gibson oscar best cinematography revenge sword fight scotland
111,Taxi Driver,Crime Drama Thriller,1976.0,assassination,taxi driver crime drama thriller assassination
112,Rumble in the Bronx (Hont faan kui),Action Adventure Comedy Crime,1995.0,,rumble in the bronx hont faan kui action adventure comedy crime
113,Before and After,Drama Mystery,1996.0,,before and after drama mystery
116,Anne Frank Remembered,Documentary,1995.0,holocaust,anne frank remembered documentary holocaust
117,"Young Poisoner's Handbook, The",Crime Drama,1995.0,,young poisoner s handbook the crime drama
118,If Lucy Fell,Comedy Romance,1996.0,,if lucy fell comedy romance
119,"Steal Big, Steal Little",Comedy,1995.0,,steal big steal little comedy
121,"Boys of St. Vincent, The",Drama,1992.0,,boys of st vincent the drama
122,Boomerang,Comedy Romance,1992.0,dating,boomerang comedy romance dating
123,Chungking Express (Chung Hing sam lam),Drama Mystery Romance,1994.0,,chungking express chung hing sam lam drama mystery romance
125,Flirting With Disaster,Comedy,1996.0,,flirting with disaster comedy
126,"NeverEnding Story III, The",Adventure Children Fantasy,1994.0,,neverending story iii the adventure children fantasy
128,Jupiter's Wife,Documentary,1994.0,,jupiter s wife documentary
129,Pie in the Sky,Comedy Romance,1996.0,,pie in the sky comedy romance
132,Jade,Thriller,1995.0,,jade thriller
135,Down Periscope,Comedy,1996.0,,down periscope comedy
137,Man of the Year,Documentary,1995.0,,man of the year documentary
140,Up Close and Personal,Drama Romance,1996.0,journalism,up close and personal drama romance journalism
141,"Birdcage, The",Comedy,1996.0,,birdcage the comedy
144,"Brothers McMullen, The",Comedy,1995.0,,brothers mcmullen the comedy
145,Bad Boys,Action Comedy Crime Drama Thriller,1995.0,,bad boys action comedy crime drama thriller
146,"Amazing Panda Adventure, The",Adventure Children,1995.0,,amazing panda adventure the adventure children
147,"Basketball Diaries, The",Drama,1995.0,addiction heroin leonardo dicaprio mark wahlberg,basketball diaries the drama addiction heroin leonardo dicaprio mark wahlberg
148,"Awfully Big Adventure, An",Drama,1995.0,,awfully big adventure an drama
149,Amateur,Crime Drama Thriller,1994.0,,amateur crime drama thriller
150,Apollo 13,Adventure Drama IMAX,1995.0,moon nasa space,apollo 13 adventure drama imax moon nasa space
151,Rob Roy,Action Drama Romance War,1995.0,,rob roy action drama romance war
152,"Addiction, The",Drama Horror,1995.0,,addiction the drama horror
153,Batman Forever,Action Adventure Comedy Crime,1995.0,superhero superhero,batman forever action adventure comedy crime superhero superhero
154,Beauty of the Day (Belle de jour),Drama,1967.0,,beauty of the day belle de jour drama
155,Beyond Rangoon,Adventure Drama War,1995.0,,beyond rangoon adventure drama war
156,Blue in the Face,Comedy Drama,1995.0,,blue in the face comedy drama
157,Canadian Bacon,Comedy War,1995.0,,canadian bacon comedy war
158,Casper,Adventure Children,1995.0,,casper adventure children
159,Clockers,Crime Drama Mystery,1995.0,,clockers crime drama mystery
160,Congo,Action Adventure Mystery Sci-Fi,1995.0,michael crichton,congo action adventure mystery sci fi michael crichton
161,Crimson Tide,Drama Thriller War,1995.0,submarine,crimson tide drama thriller war submarine
162,Crumb,Documentary,1994.0,in netflix queue,crumb documentary in netflix queue
163,Desperado,Action Romance Western,1995.0,,desperado action romance western
164,Devil in a Blue Dress,Crime Film-Noir Mystery Thriller,1995.0,,devil in a blue dress crime film noir mystery thriller
165,Die Hard: With a Vengeance,Action Crime Thriller,1995.0,,die hard with a vengeance action crime thriller
166,"Doom Generation, The",Comedy Crime Drama,1995.0,,doom generation the comedy crime drama
168,First Knight,Action Drama Romance,1995.0,,first knight action drama romance
169,Free Willy 2: The Adventure Home,Adventure Children Drama,1995.0,,free willy 2 the adventure home adventure children drama
170,Hackers,Action Adventure Crime Thriller,1995.0,,hackers action adventure crime thriller
171,Jeffrey,Comedy Drama,1995.0,,jeffrey comedy drama
172,Johnny Mnemonic,Action Sci-Fi Thriller,1995.0,,johnny mnemonic action sci fi thriller
173,Judge Dredd,Action Crime Sci-Fi,1995.0,,judge dredd action crime sci fi
174,Jury Duty,Comedy,1995.0,,jury duty comedy
175,Kids,Drama,1995.0,controversial new york city nudity (full frontal),kids drama controversial new york city nudity full frontal
176,Living in Oblivion,Comedy,1995.0,,living in oblivion comedy
177,Lord of Illusions,Horror,1995.0,,lord of illusions horror
178,Love & Human Remains,Comedy Drama,1993.0,,love human remains comedy drama
179,Mad Love,Drama Romance,1995.0,,mad love drama romance
180,Mallrats,Comedy Romance,1995.0,,mallrats comedy romance
181,Mighty Morphin Power Rangers: The Movie,Action Children,1995.0,,mighty morphin power rangers the movie action children
183,Mute Witness,Comedy Horror Thriller,1994.0,,mute witness comedy horror thriller
184,Nadja,Drama,1994.0,,nadja drama
185,"Net, The",Action Crime Thriller,1995.0,computers,net the action crime thriller computers
186,Nine Months,Comedy Romance,1995.0,,nine months comedy romance
187,Party Girl,Comedy,1995.0,,party girl comedy
188,"Prophecy, The",Fantasy Horror Mystery,1995.0,,prophecy the fantasy horror mystery
189,Reckless,Comedy Fantasy,1995.0,,reckless comedy fantasy
190,Safe,Thriller,1995.0,,safe thriller
191,"Scarlet Letter, The",Drama Romance,1995.0,,scarlet letter the drama romance
193,Showgirls,Drama,1995.0,,showgirls drama
194,Smoke,Comedy Drama,1995.0,,smoke comedy drama
195,Something to Talk About,Comedy Drama Romance,1995.0,,something to talk about comedy drama romance
196,Species,Horror Sci-Fi,1995.0,,species horror sci fi
198,Strange Days,Action Crime Drama Mystery Sci-Fi Thriller,1995.0,,strange days action crime drama mystery sci fi thriller
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",Drama Musical Romance,1964.0,made me cry,umbrellas of cherbourg the parapluies de cherbourg les drama musical romance made me cry
201,Three Wishes,Drama Fantasy,1995.0,,three wishes drama fantasy
202,Total Eclipse,Drama Romance,1995.0,,total eclipse drama romance
203,"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy,1995.0,,to wong foo thanks for everything julie newmar comedy
204,Under Siege 2: Dark Territory,Action,1995.0,,under siege 2 dark territory action
205,Unstrung Heroes,Comedy Drama,1995.0,,unstrung heroes comedy drama
206,Unzipped,Documentary,1995.0,,unzipped documentary
207,"Walk in the Clouds, A",Drama Romance,1995.0,,walk in the clouds a drama romance
208,Waterworld,Action Adventure Sci-Fi,1995.0,,waterworld action adventure sci fi
209,White Man's Burden,Drama,1995.0,,white man s burden drama
210,Wild Bill,Western,1995.0,,wild bill western
211,"Browning Version, The",Drama,1994.0,,browning version the drama
212,Bushwhacked,Adventure Comedy Crime Mystery,1995.0,,bushwhacked adventure comedy crime mystery
213,Burnt by the Sun (Utomlyonnye solntsem),Drama,1994.0,,burnt by the sun utomlyonnye solntsem drama
214,Before the Rain (Pred dozhdot),Drama War,1994.0,,before the rain pred dozhdot drama war
215,Before Sunrise,Drama Romance,1995.0,generation x,before sunrise drama romance generation x
216,Billy Madison,Comedy,1995.0,school adam sandler stop looking at me swan,billy madison comedy school adam sandler stop looking at me swan
217,"Babysitter, The",Drama Thriller,1995.0,,babysitter the drama thriller
218,Boys on the Side,Comedy Drama,1995.0,,boys on the side comedy drama
219,"Cure, The",Drama,1995.0,,cure the drama
220,Castle Freak,Horror,1995.0,,castle freak horror
222,Circle of Friends,Drama Romance,1995.0,ireland,circle of friends drama romance ireland
223,Clerks,Comedy,1994.0,cynical hilarious independent film quirky witty generation x,clerks comedy cynical hilarious independent film quirky witty generation x
224,Don Juan DeMarco,Comedy Drama Romance,1995.0,mental illness psychology,don juan demarco comedy drama romance mental illness psychology
225,Disclosure,Drama Thriller,1994.0,,disclosure drama thriller
227,Drop Zone,Action Thriller,1994.0,,drop zone action thriller
228,Destiny Turns on the Radio,Comedy,1995.0,,destiny turns on the radio comedy
229,Death and the Maiden,Drama Thriller,1994.0,,death and the maiden drama thriller
230,Dolores Claiborne,Drama Thriller,1995.0,stephen king,dolores claiborne drama thriller stephen king
231,Dumb & Dumber (Dumb and Dumber),Adventure Comedy,1994.0,,dumb dumber dumb and dumber adventure comedy
232,Eat Drink Man Woman (Yin shi nan nu),Comedy Drama Romance,1994.0,in netflix queue,eat drink man woman yin shi nan nu comedy drama romance in netflix queue
233,Exotica,Drama,1994.0,,exotica drama
234,Exit to Eden,Comedy,1994.0,,exit to eden comedy
235,Ed Wood,Comedy Drama,1994.0,movie business,ed wood comedy drama movie business
236,French Kiss,Action Comedy Romance,1995.0,,french kiss action comedy romance
237,Forget Paris,Comedy Romance,1995.0,basketball france infertility,forget paris comedy romance basketball france infertility
238,Far From Home: The Adventures of Yellow Dog,Adventure Children,1995.0,,far from home the adventures of yellow dog adventure children
239,"Goofy Movie, A",Animation Children Comedy Romance,1995.0,,goofy movie a animation children comedy romance
240,Hideaway,Thriller,1995.0,,hideaway thriller
241,Fluke,Children Drama,1995.0,,fluke children drama
242,Farinelli: il castrato,Drama Musical,1994.0,,farinelli il castrato drama musical
243,Gordy,Children Comedy Fantasy,1995.0,,gordy children comedy fantasy
246,Hoop Dreams,Documentary,1994.0,basketball,hoop dreams documentary basketball
247,Heavenly Creatures,Crime Drama,1994.0,australia,heavenly creatures crime drama australia
248,Houseguest,Comedy,1994.0,bad sinbad,houseguest comedy bad sinbad
249,Immortal Beloved,Drama Romance,1994.0,beethoven,immortal beloved drama romance beethoven
250,Heavyweights (Heavy Weights),Children Comedy,1995.0,,heavyweights heavy weights children comedy
251,"Hunted, The",Action,1995.0,,hunted the action
252,I.Q.,Comedy Romance,1994.0,einstein,i q comedy romance einstein
253,Interview with the Vampire: The Vampire Chronicles,Drama Horror,1994.0,,interview with the vampire the vampire chronicles drama horror
254,Jefferson in Paris,Drama,1995.0,,jefferson in paris drama
255,"Jerky Boys, The",Comedy,1995.0,,jerky boys the comedy
256,Junior,Comedy Sci-Fi,1994.0,,junior comedy sci fi
257,Just Cause,Mystery Thriller,1995.0,court,just cause mystery thriller court
258,"Kid in King Arthur's Court, A",Adventure Children Comedy Fantasy Romance,1995.0,,kid in king arthur s court a adventure children comedy fantasy romance
259,Kiss of Death,Crime Drama Thriller,1995.0,,kiss of death crime drama thriller
260,Star Wars: Episode IV - A New Hope,Action Adventure Sci-Fi,1977.0,classic space action action sci-fi epic great soundtrack classic sci-fi engrossing adventure epic classic nerd classic sci-fi space action space epic oldie but goodie sci-fi star wars robots and androids space classic sci-fi sci-fi space adventure star wars darth vader luke skywalker space opera,star wars episode iv a new hope action adventure sci fi classic space action action sci fi epic great soundtrack classic sci fi engrossing adventure epic classic nerd classic sci fi space action space epic oldie but goodie sci fi star wars robots and androids space classic sci fi sci fi space adventure star wars darth vader luke skywalker space opera
261,Little Women,Drama,1994.0,louisa may alcott,little women drama louisa may alcott
262,"Little Princess, A",Children Drama,1995.0,england girl power india,little princess a children drama england girl power india
263,Ladybird Ladybird,Drama,1994.0,,ladybird ladybird drama
265,Like Water for Chocolate (Como agua para chocolate),Drama Fantasy Romance,1992.0,,like water for chocolate como agua para chocolate drama fantasy romance
266,Legends of the Fall,Drama Romance War Western,1994.0,,legends of the fall drama romance war western
267,Major Payne,Comedy,1995.0,,major payne comedy
269,My Crazy Life (Mi vida loca),Drama,1993.0,,my crazy life mi vida loca drama
270,Love Affair,Drama Romance,1994.0,,love affair drama romance
271,Losing Isaiah,Drama,1995.0,,losing isaiah drama
272,"Madness of King George, The",Comedy Drama,1994.0,england mental illness,madness of king george the comedy drama england mental illness
273,Mary Shelley's Frankenstein (Frankenstein),Drama Horror Sci-Fi,1994.0,gothic,mary shelley s frankenstein frankenstein drama horror sci fi gothic
274,Man of the House,Comedy,1995.0,,man of the house comedy
275,Mixed Nuts,Comedy,1994.0,,mixed nuts comedy
276,Milk Money,Comedy Romance,1994.0,,milk money comedy romance
277,Miracle on 34th Street,Drama,1994.0,christmas,miracle on 34th street drama christmas
278,Miami Rhapsody,Comedy,1995.0,,miami rhapsody comedy
279,My Family,Drama,1995.0,in netflix queue,my family drama in netflix queue
280,Murder in the First,Drama Thriller,1995.0,prison,murder in the first drama thriller prison
281,Nobody's Fool,Comedy Drama Romance,1994.0,,nobody s fool comedy drama romance
282,Nell,Drama,1994.0,disability twins,nell drama disability twins
283,New Jersey Drive,Crime Drama,1995.0,,new jersey drive crime drama
284,New York Cop (Nyû Yôku no koppu),Action Crime,1993.0,,new york cop ny y ku no koppu action crime
285,Beyond Bedlam,Drama Horror,1993.0,,beyond bedlam drama horror
287,Nina Takes a Lover,Comedy Romance,1994.0,,nina takes a lover comedy romance
288,Natural Born Killers,Action Crime Thriller,1994.0,brutality controversial dark comedy psychedelic satire stylized,natural born killers action crime thriller brutality controversial dark comedy psychedelic satire stylized
289,Only You,Comedy Romance,1994.0,,only you comedy romance
290,Once Were Warriors,Crime Drama,1994.0,in netflix queue,once were warriors crime drama in netflix queue
291,Poison Ivy II,Drama Thriller,1996.0,,poison ivy ii drama thriller
292,Outbreak,Action Drama Sci-Fi Thriller,1995.0,,outbreak action drama sci fi thriller
293,Léon: The Professional (a.k.a. The Professional) (Léon),Action Crime Drama Thriller,1994.0,assassin jean reno hit men action assassin assassination assassins awkward romance corruption crime disturbing drama french friendship gary oldman great acting guns hit men hitman humorous imdb top 250 jean reno lolita theme loneliness love story luc besson natalie portman organized crime police police corruption quirky sniper tense touching unique,l on the professional a k a the professional l on action crime drama thriller assassin jean reno hit men action assassin assassination assassins awkward romance corruption crime disturbing drama french friendship gary oldman great acting guns hit men hitman humorous imdb top 250 jean reno lolita theme loneliness love story luc besson natalie portman organized crime police police corruption quirky sniper tense touching unique
294,"Perez Family, The",Comedy Romance,1995.0,,perez family the comedy romance
295,"Pyromaniac's Love Story, A",Comedy Romance,1995.0,,pyromaniac s love story a comedy romance
296,Pulp Fiction,Comedy Crime Drama Thriller,1994.0,good dialogue great soundtrack non-linear cult film drugs quentin tarantino tarantino hit men 1990s achronological action action packed aggressive amazing amazing dialogues anthology assassin atmospheric awesome bad ass bad language bad-ass bible biblical references big boys with guns big name actors black comedy black humor black humour blood blood splatters bloody bruce willis brutality casual violence character development characters classic classic movie coke comedy conversation cool cool style crime crime scene scrubbing cult cult classic cult film dance dancing dark dark comedy dark humor dialogue different diner disjointed timeline disturbing drama drug overdose drugs drugs & music ensemble cast entertaining entirely dialogue episodic exciting fast paced fast-paced film noir film-noir foul language fun funny gangster gangsters genius golden watch good dialogue good music gore great acting great dialogue great soundtrack gritty guns harvey keitel heroin highly quotable hit men hitman homosexuality humour iconic imdb top 250 innovative intellectual intelligent intense interesting intertwining storylines interwoven storylines ironic irony john travolta killer-as-protagonist los angeles mafia masterpiece meaningless violence milkshake mobster mobsters monologue motherfucker multiple stories multiple storylines neo-noir noir non-linear non-linear timeline nonlinear nonlinear narrative nonlinear storyline nonlinear timeline notable soundtrack offensive organised crime organized crime original original plot out of order palme d'or parody philosophical pop culture references psychological pulp quentin tarantino quirky quotable r:disturbing violent content including rape r:disturbing violent images r:graphic sexuality r:some violence r:strong bloody violence r:strong language r:sustained strong stylized violence r:violence random rape retro roger avary royal with cheese samuel l. jackson sarcasm satire sexy smart writing sophisticated soundtrack splatter steve buscemi storytelling stylish stylized suspense tarantino thought-provoking thriller travolta twist ending uma thurman unique unpredictable unusual very funny violence violent witty,pulp fiction comedy crime drama thriller good dialogue great soundtrack non linear cult film drugs quentin tarantino tarantino hit men 1990s achronological action action packed aggressive amazing amazing dialogues anthology assassin atmospheric awesome bad ass bad language bad ass bible biblical references big boys with guns big name actors black comedy black humor black humour blood blood splatters bloody bruce willis brutality casual violence character development characters classic classic movie coke comedy conversation cool cool style crime crime scene scrubbing cult cult classic cult film dance dancing dark dark comedy dark humor dialogue different diner disjointed timeline disturbing drama drug overdose drugs drugs music ensemble cast entertaining entirely dialogue episodic exciting fast paced fast paced film noir film noir foul language fun funny gangster gangsters genius golden watch good dialogue good music gore great acting great dialogue great soundtrack gritty guns harvey keitel heroin highly quotable hit men hitman homosexuality humour iconic imdb top 250 innovative intellectual intelligent intense interesting intertwining storylines interwoven storylines ironic irony john travolta killer as protagonist los angeles mafia masterpiece meaningless violence milkshake mobster mobsters monologue motherfucker multiple stories multiple storylines neo noir noir non linear non linear timeline nonlinear nonlinear narrative nonlinear storyline nonlinear timeline notable soundtrack offensive organised crime organized crime original original plot out of order palme d or parody philosophical pop culture references psychological pulp quentin tarantino quirky quotable r disturbing violent content including rape r disturbing violent images r graphic sexuality r some violence r strong bloody violence r strong language r sustained strong stylized violence r violence random rape retro roger avary royal with cheese samuel l jackson sarcasm satire sexy smart writing sophisticated soundtrack splatter steve buscemi storytelling stylish stylized suspense tarantino thought provoking thriller travolta twist ending uma thurman unique unpredictable unusual very funny violence violent witty
298,Pushing Hands (Tui shou),Drama,1992.0,,pushing hands tui shou drama
299,Priest,Drama,1994.0,,priest drama
300,Quiz Show,Drama,1994.0,tv,quiz show drama tv
301,Picture Bride (Bijo photo),Drama Romance,1994.0,,picture bride bijo photo drama romance
302,"Queen Margot (Reine Margot, La)",Drama Romance,1994.0,,queen margot reine margot la drama romance
303,"Quick and the Dead, The",Action Thriller Western,1995.0,,quick and the dead the action thriller western
304,Roommates,Comedy Drama,1995.0,,roommates comedy drama
305,Ready to Wear (Pret-A-Porter),Comedy,1994.0,,ready to wear pret a porter comedy
306,Three Colors: Red (Trois couleurs: Rouge),Drama,1994.0,,three colors red trois couleurs rouge drama
307,Three Colors: Blue (Trois couleurs: Bleu),Drama,1993.0,death,three colors blue trois couleurs bleu drama death
308,Three Colors: White (Trzy kolory: Bialy),Comedy Drama,1994.0,marriage cynical,three colors white trzy kolory bialy comedy drama marriage cynical
310,Rent-a-Kid,Comedy,1995.0,,rent a kid comedy
311,Relative Fear,Horror Thriller,1994.0,,relative fear horror thriller
312,Stuart Saves His Family,Comedy,1995.0,,stuart saves his family comedy
313,"Swan Princess, The",Animation Children,1994.0,,swan princess the animation children
314,"Secret of Roan Inish, The",Children Drama Fantasy Mystery,1994.0,,secret of roan inish the children drama fantasy mystery
315,"Specialist, The",Action Drama Thriller,1994.0,,specialist the action drama thriller
316,Stargate,Action Adventure Sci-Fi,1994.0,time travel,stargate action adventure sci fi time travel
317,"Santa Clause, The",Comedy Drama Fantasy,1994.0,christmas,santa clause the comedy drama fantasy christmas
318,"Shawshank Redemption, The",Crime Drama,1994.0,prison stephen king wrongful imprisonment morgan freeman,shawshank redemption the crime drama prison stephen king wrongful imprisonment morgan freeman
319,Shallow Grave,Comedy Drama Thriller,1994.0,,shallow grave comedy drama thriller
320,Suture,Film-Noir Thriller,1993.0,,suture film noir thriller
321,Strawberry and Chocolate (Fresa y chocolate),Drama,1993.0,,strawberry and chocolate fresa y chocolate drama
322,Swimming with Sharks,Comedy Drama,1995.0,,swimming with sharks comedy drama
324,"Sum of Us, The",Comedy Drama,1994.0,,sum of us the comedy drama
325,National Lampoon's Senior Trip,Comedy,1995.0,,national lampoon s senior trip comedy
326,To Live (Huozhe),Drama,1994.0,in netflix queue,to live huozhe drama in netflix queue
327,Tank Girl,Action Comedy Sci-Fi,1995.0,,tank girl action comedy sci fi
